6.866984127	1.1
8.564693878	1.2
10.278321995	1.3
11.966031746	1.4
13.676371882	2.1
14.534331066	2.2
14.955192744	2.3
15.387278912	2.4
17.095782313	3.1
17.888049887	3.2
18.331814059	3.3
18.759047619	3.4
20.457573696	4.1
21.305079365	4.2
21.715759637	4.3
22.152721088	4.4
22.972585034	5.1
23.414399093	5.2
23.839183673	5.3
24.683696145	5.4
25.098594104	6.1
25.547097506	6.2
26.350249433	6.3
26.557732426	6.4
26.790181406	7.1
26.996485261	7.2
27.208594104	7.3
28.078888889	7.4
28.498843537	8.1
28.932675737	8.2
29.755079365	8.3
30.195011338	8.4
30.614852608	9.1
31.428412698	9.2
31.877891156	9.3
32.299138322	9.4
32.703174603	10.1
32.917800454	10.2
33.165124717	10.3
33.375646259	10.4
33.564875283	11.1
33.794399093	11.2
33.997052154	11.3
34.421496599	11.4
34.852267574	12.1
35.237006803	12.2
35.448276644	12.3
37.308208617	12.4
37.548616780	13.1
38.000680272	13.2
38.436031746	13.3
38.839319728	13.4
41.149705215	14.1
41.577845805	14.2
41.999773243	14.3
42.197573696	14.4
44.062993197	15.1
44.537959184	15.2
44.759160998	15.3
45.368117914	15.4
45.602675737	16.1
45.995918367	16.2
46.394761905	16.3
46.843809524	16.4
47.059954649	17.1
47.910113379	17.2
48.330861678	17.3
48.762176871	17.4
48.973151927	18.1
50.847528345	18.2
51.054852608	18.3
51.532517007	18.4
51.963219955	19.1
52.374875283	19.2
54.636961451	19.3
55.093560091	19.4
55.508616780	20.1
55.733424036	20.2
57.631156463	20.3
58.049433107	20.4
58.269206349	21.1
58.900113379	21.2
59.104897959	21.3
59.545578231	21.4
59.944149660	22.1
60.386893424	22.2
60.591746032	22.3
61.036734694	22.4
61.461791383	23.1
61.872811791	23.2
62.310294785	23.3
62.730272109	23.4
63.137301587	24.1
63.548049887	24.2
63.997324263	24.3
64.415238095	24.4
64.832380952	25.1
65.258639456	25.2
65.671088435	25.3
66.089546485	25.4
66.492380952	26.1
66.937074830	26.2
67.366848073	26.3
68.179387755	37.3
68.617324263	37.4
69.072199546	38.1
69.268344671	38.2
71.157755102	38.3
71.569115646	38.4
71.777482993	39.1
72.400181406	39.2
72.619024943	39.3
73.061700680	39.4
73.428866213	40.1
73.860090703	40.2
74.069251701	40.3
74.492789116	40.4
74.713083900	41.1
74.942426304	41.2
75.170317460	41.3
75.383038549	41.4
75.597596372	42.1
75.830521542	42.2
76.036553288	42.3
76.232244898	42.4
76.446077098	43.1
76.644603175	43.2
76.842131519	43.3
77.053197279	43.4
77.270430839	44.1
77.480861678	44.2
77.695782313	44.3
77.906757370	44.4
78.108458050	45.1
78.340657596	45.2
78.546167800	45.3
78.751201814	45.4
78.955623583	46.1
79.160294785	46.2
79.380113379	46.3
79.602857143	46.4
79.807120181	47.1
80.020000000	47.2
80.232721088	47.3
80.440907029	47.4
80.651882086	48.1
80.868911565	48.2
81.061519274	48.3
81.275873016	48.4
81.703038549	49.1
82.538344671	51.1
83.386825397	51.2
84.656167800	51.3
85.101723356	51.4
85.948095238	52.1
86.769160998	53.1
89.740612245	53.2
90.201383220	53.3
90.576054422	53.4
90.939909297	54.1
91.198185941	54.2
91.457936508	54.3
91.853219955	54.4
92.277596372	55.1
92.598911565	55.2
92.896870748	55.3
93.093900227	55.4
93.535532880	56.1
93.970566893	56.2
94.280068027	56.3
94.583038549	56.4
94.794761905	57.1
95.236349206	57.2
95.660566893	57.3
95.978299320	57.4
96.277097506	58.1
96.533854875	58.2
96.962970522	58.3
97.387664399	58.4
97.670793651	59.1
98.007505669	59.2
98.215464853	59.3
98.611247166	59.4
99.049092971	60.1
99.361473923	60.2
99.667460317	60.3
99.896780045	60.4
100.333492063	61.1
100.752108844	61.2
101.063514739	61.3
101.354172336	61.4
108.303106576	62.1
108.778775510	62.2
109.203650794	62.3
109.601451247	62.4
109.840521542	63.1
110.085510204	63.2
111.698276644	63.3
112.111836735	63.4
112.558140590	64.1
112.986825397	64.2
113.180045351	64.3
113.402448980	64.4
114.638231293	65.1
115.094217687	65.2
115.289365079	65.3
115.503106576	65.4
115.725464853	66.1
115.935736961	66.2
116.160340136	66.3
116.377006803	66.4
116.581088435	67.1
116.782426304	67.2
116.998526077	67.3
117.214036281	67.4
117.414489796	68.1
117.637482993	68.2
117.830045351	68.3
118.037437642	68.4
118.254444444	69.1
118.472335601	69.2
118.686281179	69.3
118.888163265	69.4
119.119092971	70.1
119.324376417	70.2
119.528775510	70.3
119.728299320	70.4
119.934285714	71.1
120.139047619	71.2
120.352108844	71.3
120.575351474	71.4
120.779319728	72.1
120.990340136	72.2
121.176848073	72.3
121.411179138	72.4
121.620861678	73.1
121.856462585	73.2
122.088344671	73.3
122.293151927	73.4
122.513922902	74.1
122.730793651	74.2
122.938820862	74.3
123.135306122	74.4
123.337800454	75.1
123.549274376	75.2
123.758775510	75.3
123.958004535	75.4
124.151224490	76.1
124.345555556	76.2
124.574512472	76.3
124.790272109	76.4
125.022925170	77.1
125.226643991	77.2
125.445555556	77.3
125.656666667	77.4
125.878117914	78.1
126.073718821	78.2
126.280317460	78.3
126.496303855	78.4
126.697188209	79.1
126.916734694	79.2
127.133514739	79.3
127.335941043	79.4
127.551564626	80.1
127.763628118	80.2
127.957324263	80.3
128.157845805	80.4
128.374897959	81.1
135.803174603	83.4
136.221065760	84.1
136.689365079	84.2
136.900839002	84.3
138.739319728	84.4
139.186598639	85.1
139.410929705	85.2
140.044013605	85.3
140.227755102	85.4
140.674195011	86.1
141.065170068	86.2
141.507346939	86.3
